KSHMR,55,2019
Mr. Scruff,53,1999
Katy Perry,41,2017
Of Monsters and Men,5,2015
Dizzy Wright,28,2012
Breathe Carolina,53,2019
Ludvigsson,49,2019
Llane,68,2019
ChiChi Peralta,12,1997
Alan Walker,83,2019
The Rolling Stones,66,1971
Brytiago,63,2019
Lauv,81,2019
B.G.,47,1999
The Band,63,1969
SMO,19,2018
Tego Calderon,71,2003
The Jacksons,69,1978
Th' Dudes,48,1979
Chris Viz,76,2019
Queen,30,1976
Saramalacara,49,2019
Cartel De Santa,51,2007
Flying Lotus,51,2007
Pekeño 77,10,2019
Fuego,0,2011
Diddy,67,2004
Hell Driver,34,2019
Ghost Loft,34,2015
Tall Tree Tales,17,2016
Bob Seger,72,1978
Capital Bra,79,2019
Khea,66,2019
Alkilados,56,2019
Abstract Rude,1,2017
C-Kan,48,2019
Daddy Yankee,80,2019
Melodyia Music,61,2014
Paul McCartney,8,1973
Hiroomi Tosaka,39,2020
Carnage,45,2015
Zara Larsson,58,2018
Selena Gomez,88,2020
James Japan,42,2019
JD McPherson,16,2013
Alan Walker,42,2017
DJ Mibor,20,2019
Martin Garrix,63,2019
Simple Minds,45,1985
GAWVI,0,2017
Simaga,20,2015
Far East Movement,40,2016
Kenny Man,75,2018
DaBaby,87,2019
Steve Lacy,60,2017
The Swinghoppers,44,2020
Mako,45,2014
Marshmello,83,2018
Edward Sizzerhand,50,2019
Nikka Costa,0,2008
Ellie Goulding,9,2019
Mike Moonnight,34,2019
Yes,69,1983
Juvenile,37,1998
blackwave.,37,2018
Taylor Swift,62,2010
Tom Cochrane,62,1992
Dimelo Flow,90,2019
The Game,62,2005
Wildcrow,12,2020
Angel Olsen,60,2019
Logic,0,2014
Zee Krayski,0,2018
Rapsody,31,2017
Blasterjaxx,46,2019
Auxxk,41,2017
Jowell & Randy,53,2010
Guy,49,1988
Lou Bega,76,1999
Clairmont,0,2016
gizmo,0,2017
Luis Fonsi,79,2019
Erykah Badu,35,1997
ATEEZ,72,2019
Calvin Harris,83,2019
Mystikal,23,2010
Nurko,52,2019
Yvette Michele,29,1997
Mark Knight,22,2016
KAAZE,0,2014
alt-J,72,2012
Afrojack,18,2014
Tom Petty and the Heartbreakers,63,1979
Alok,61,2019
Shahmen,51,2019
Arva,33,2019
Whitney Houston,37,1992
Liv Young,21,2019
La Ley,65,2001
Wyko,16,2019
updog,40,2019
KSHMR,64,2018
Meghan Trainor,64,2019
Jhay Cortez,84,2019
Elvis Crespo,49,1998
Logic,63,2017
Tom Petty and the Heartbreakers,73,1976
Miley Cyrus,72,2009
Galantis,74,2015
Avicii,10,2015
Jon Magnusson,13,2017
Zita,52,2019
Erre XI,0,2012
Calvin Harris,38,2015
Martin Garrix,69,2019
$uicideBoy$,68,2016
Vale Lambo,45,2020
Cuco,76,2017
Guns N' Roses,67,1988
1Kilo,61,2018
Ballin Entertainment,0,2008
Timeflies,37,2017
Night Lovell,61,2019
Logic,8,2019
AK Ausserkontrolle,40,2016
Capital Kings,43,2017
French Montana,59,2019
Creedence Clearwater Revival,78,1970
Edward Maya,65,2010
Soda Stereo,3,1997
La Isla Centeno,44,2019
ANG,34,2019
Roostz,27,2019
Krept & Konan,58,2017
blackbear,94,2019
JAY-Z,2,2005
3LAU,52,2014
Robin Thicke,0,2008
David Guetta,2,2010
